banktxn_id,created_at,client_id,bank_account_id,txn_date,txn_description,ai_fqn,ai_payee,status,pld_txn_id,confidence_fqn,confidence_payee,user_fqn,user_payee,match_fqn,match_payee,fqn_method,payee_method,check_num,txn_source,completed_at,source_file,source_user,commit_user,qbo_write_method,dup_match,txn_amount,reconcile,invoice_bill,qbo_id
31512,2025-05-05 14:33:53.510268+00,299,276,2022-11-28,Solano County Pr 7077847485 3840545806,Accounts Receivable (A/R),Amy's Bird Sanctuary,userreview,NULL,55,55,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,FNB%202022_20250505_143314,673,NULL,NULL,NULL,-3746.52,NULL,NULL,NULL
31513,2025-05-05 14:33:53.510268+00,299,276,2022-11-28,Solano County Pr 7077847485 3840545624,Accounts Receivable (A/R),Amy's Bird Sanctuary,userreview,NULL,53,53,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,FNB%202022_20250505_143314,673,NULL,NULL,NULL,-1882.75,NULL,NULL,NULL
31514,2025-05-05 14:33:53.510268+00,299,276,2022-11-28,GOLDEN STATE FAR Bill Pay,Billable Expense Income,Geeta Kalapatapu,userreview,NULL,87,87,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,FNB%202022_20250505_143314,673,NULL,NULL,NULL,-599.63,NULL,NULL,NULL
31515,2025-05-05 14:33:53.510268+00,299,276,2022-11-17,Deposit,Legal & Professional Fees:Accounting,Cool Cars,userreview,NULL,75,75,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,FNB%202022_20250505_143314,673,NULL,NULL,NULL,10750.00,NULL,NULL,NULL
31516,2025-05-05 14:33:53.510268+00,299,276,2022-11-15,AGCO FINANCE LLC ACH 001-0512986-000,Bank Charges,Cool Cars,userreview,NULL,54,54,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,FNB%202022_20250505_143314,673,NULL,NULL,NULL,-1239.16,NULL,NULL,NULL
31528,2025-05-05 14:33:54.311205+00,299,276,2022-07-15,AGCO FINANCE LLC ACH 001-0512986-000,Accounts Receivable (A/R),0969 Ocean View Road,userreview,NULL,52,52,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,FNB%202022_20250505_143314,673,NULL,NULL,NULL,-1239.16,NULL,NULL,NULL
31529,2025-05-05 14:33:54.311205+00,299,276,2022-07-06,GOLDEN STATE FAR Bill Pay,Billable Expense Income,Geeta Kalapatapu,userreview,NULL,100,100,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,FNB%202022_20250505_143314,673,NULL,NULL,NULL,-789.00,NULL,NULL,NULL
31530,2025-05-05 14:33:54.311205+00,299,276,2022-07-01,GOLDEN STATE FAR Bill Pay,Billable Expense Income,Geeta Kalapatapu,userreview,NULL,100,100,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,FNB%202022_20250505_143314,673,NULL,NULL,NULL,-2000.00,NULL,NULL,NULL
32683,2025-05-06 22:28:52.157686+00,299,276,2022-12-28,Check,NULL,NULL,userreview.check,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CSV,NULL,FNB%202022_20250506_222732,673,NULL,NULL,NULL,-15000.00,NULL,NULL,NULL
32684,2025-05-06 22:28:52.157686+00,299,276,2022-12-28,SBA LOAN PAYMENT 0000,NULL,NULL,userreview,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rag,ngram-fuzzy,NULL,CSV,NULL,FNB%202022_20250506_222732,673,NULL,NULL,NULL,-50.00,NULL,NULL,NULL
31531,2025-05-05 14:33:54.311205+00,299,276,2022-06-15,AGCO FINANCE LLC ACH 001-0512986-000,Accounts Receivable (A/R),0969 Ocean View Road,userreview,NULL,52,52,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,FNB%202022_20250505_143314,673,NULL,NULL,NULL,-1239.16,NULL,NULL,NULL
31532,2025-05-05 14:33:54.311205+00,299,276,2022-06-13,HOLT AG SOLUTION Bill Pay,Billable Expense Income,Geeta Kalapatapu,userreview,NULL,60,60,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,FNB%202022_20250505_143314,673,NULL,NULL,NULL,-1085.73,NULL,NULL,NULL
31533,2025-05-05 14:33:54.311205+00,299,276,2022-06-08,WILBUR-ELLIS COM BT0607 000000179763120,Bank Charges,Cool Cars,userreview,NULL,54,54,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,FNB%202022_20250505_143314,673,NULL,NULL,NULL,-13625.46,NULL,NULL,NULL
31534,2025-05-05 14:33:54.311205+00,299,276,2022-06-03,Deposit,Legal & Professional Fees:Accounting,Cool Cars,userreview,NULL,88,88,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,FNB%202022_20250505_143314,673,NULL,NULL,NULL,20000.00,NULL,NULL,NULL
31535,2025-05-05 14:33:54.311205+00,299,276,2022-06-01,GOLDEN STATE FAR Bill Pay,Billable Expense Income,Geeta Kalapatapu,userreview,NULL,100,100,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,FNB%202022_20250505_143314,673,NULL,NULL,NULL,-2000.00,NULL,NULL,NULL
31536,2025-05-05 14:33:54.311205+00,299,276,2022-05-16,AGCO FINANCE LLC ACH 001-0512986-000,Accounts Receivable (A/R),0969 Ocean View Road,userreview,NULL,52,52,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,FNB%202022_20250505_143314,673,NULL,NULL,NULL,-1239.16,NULL,NULL,NULL
31538,2025-05-05 14:33:54.311205+00,299,276,2022-04-26,Check,NULL,NULL,userreview.check,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CSV,NULL,FNB%202022_20250505_143314,673,NULL,NULL,NULL,-508.95,NULL,NULL,NULL
32919,2025-05-07 19:23:40.333593+00,299,277,2024-12-30,ARZ FINE FOODS,Bank Charges,Freeman Sporting Goods,userreview,NULL,88,88,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,2025-02-04_transaction_download_20250507_192318,673,NULL,NULL,NULL,-28.57,NULL,NULL,NULL
32920,2025-05-07 19:23:40.333593+00,299,277,2024-12-27,IQBAL FOODS,NULL,NULL,userreview,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rag,ngram-fuzzy,NULL,CSV,NULL,2025-02-04_transaction_download_20250507_192318,673,NULL,NULL,NULL,-95.32,NULL,NULL,NULL
32921,2025-05-07 19:23:40.333593+00,299,277,2024-12-27,GLITERZ BEAUTY SALON,NULL,NULL,userreview,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rag,ngram-fuzzy,NULL,CSV,NULL,2025-02-04_transaction_download_20250507_192318,673,NULL,NULL,NULL,-31.45,NULL,NULL,NULL
34238,2025-05-22 15:43:42.747615+00,299,274,2023-04-24,Check Deposit:,NULL,NULL,saved,NULL,NULL,NULL,Bank Charges,Dukes Basketball Camp,FALSE,FALSE,NULL,NULL,515,Check,NULL,image_20250522_154158,683,683,NULL,NULL,19952.69,NULL,NULL,NULL
32922,2025-05-07 19:23:40.333593+00,299,277,2024-12-27,MOMIN HALAL MEAT & GROCE,NULL,NULL,userreview,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rag,ngram-fuzzy,NULL,CSV,NULL,2025-02-04_transaction_download_20250507_192318,673,NULL,NULL,NULL,-9.29,NULL,NULL,NULL
32923,2025-05-07 19:23:40.333593+00,299,277,2024-12-27,FOX HOME Square One,NULL,NULL,userreview,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rag,ngram-fuzzy,NULL,CSV,NULL,2025-02-04_transaction_download_20250507_192318,673,NULL,NULL,NULL,-8.00,NULL,NULL,NULL
34239,2025-05-22 15:44:08.087364+00,299,274,2022-12-25,Check Deposit:www.theorybink ty,NULL,NULL,userreview,NULL,NULL,NULL,NULL,Cool Cars,FALSE,FALSE,NULL,NULL,1033,Check,NULL,image%20%281%29_20250522_154158,683,683,NULL,NULL,9000.00,NULL,NULL,NULL
32924,2025-05-07 19:23:40.333593+00,299,277,2024-12-27,FOX HOME Square One,NULL,NULL,userreview,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rag,ngram-fuzzy,NULL,CSV,NULL,2025-02-04_transaction_download_20250507_192318,673,NULL,NULL,NULL,-51.13,NULL,NULL,NULL
